elapsed_time_s,nbodies,niter,n_blocks,threads_per_block
1.604591,1024,1000,4,256
1.607926,1024,1000,4,256
1.603249,1024,1000,4,256
1.605750,1024,1000,4,256
1.604858,1024,1000,4,256
1.603776,1024,1000,4,256
1.603338,1024,1000,4,256
1.603588,1024,1000,4,256
1.605149,1024,1000,4,256
1.604227,1024,1000,4,256
1.606572,1024,1000,4,256
1.603098,1024,1000,4,256
1.603487,1024,1000,4,256
1.606086,1024,1000,4,256
1.604552,1024,1000,4,256
1.603743,1024,1000,4,256
1.603640,1024,1000,4,256
1.603525,1024,1000,4,256
1.605007,1024,1000,4,256
1.605285,1024,1000,4,256
1.603747,1024,1000,4,256
1.603396,1024,1000,4,256
1.603923,1024,1000,4,256
1.603978,1024,1000,4,256
1.604521,1024,1000,4,256
1.606144,1024,1000,4,256
1.607286,1024,1000,4,256
1.607095,1024,1000,4,256
1.605005,1024,1000,4,256
1.606222,1024,1000,4,256
3.183750,2048,1000,8,256
3.183543,2048,1000,8,256
3.183757,2048,1000,8,256
3.183271,2048,1000,8,256
3.184036,2048,1000,8,256
3.185024,2048,1000,8,256
3.188535,2048,1000,8,256
3.183573,2048,1000,8,256
3.188506,2048,1000,8,256
3.189185,2048,1000,8,256
3.189002,2048,1000,8,256
3.184151,2048,1000,8,256
3.184558,2048,1000,8,256
3.185917,2048,1000,8,256
3.183911,2048,1000,8,256
3.185260,2048,1000,8,256
3.184707,2048,1000,8,256
3.182486,2048,1000,8,256
3.183087,2048,1000,8,256
3.185039,2048,1000,8,256
3.183526,2048,1000,8,256
3.183034,2048,1000,8,256
3.184812,2048,1000,8,256
3.187951,2048,1000,8,256
3.183867,2048,1000,8,256
3.183289,2048,1000,8,256
3.185419,2048,1000,8,256
3.185230,2048,1000,8,256
3.186335,2048,1000,8,256
3.189157,2048,1000,8,256

6.463169,4069,1000,16,256
6.463315,4069,1000,16,256
6.460172,4069,1000,16,256
6.460270,4069,1000,16,256
6.458347,4069,1000,16,256
6.459635,4069,1000,16,256
6.460951,4069,1000,16,256
6.463687,4069,1000,16,256
6.464138,4069,1000,16,256
6.464767,4069,1000,16,256
6.462984,4069,1000,16,256
6.463846,4069,1000,16,256
6.459661,4069,1000,16,256
6.458920,4069,1000,16,256
6.459749,4069,1000,16,256
6.464897,4069,1000,16,256
6.463388,4069,1000,16,256
6.463164,4069,1000,16,256
6.460088,4069,1000,16,256
6.465490,4069,1000,16,256
6.469865,4069,1000,16,256
6.464135,4069,1000,16,256
6.461676,4069,1000,16,256
6.463208,4069,1000,16,256
6.463920,4069,1000,16,256
6.463925,4069,1000,16,256
6.465791,4069,1000,16,256
6.458992,4069,1000,16,256
6.458469,4069,1000,16,256
6.466086,4069,1000,16,256
13.242683,8192,1000,32,256
13.243010,8192,1000,32,256
13.245416,8192,1000,32,256
13.244809,8192,1000,32,256
13.248916,8192,1000,32,256
13.234805,8192,1000,32,256
13.241798,8192,1000,32,256
13.241592,8192,1000,32,256
13.236212,8192,1000,32,256
13.232517,8192,1000,32,256
13.227761,8192,1000,32,256
13.241034,8192,1000,32,256
13.234887,8192,1000,32,256
13.237017,8192,1000,32,256
13.230142,8192,1000,32,256
13.226541,8192,1000,32,256
13.232140,8192,1000,32,256
13.227500,8192,1000,32,256
13.225981,8192,1000,32,256
13.234626,8192,1000,32,256
13.224801,8192,1000,32,256
13.232683,8192,1000,32,256
13.248119,8192,1000,32,256
13.236604,8192,1000,32,256
13.245782,8192,1000,32,256
13.239531,8192,1000,32,256
13.242381,8192,1000,32,256
13.241661,8192,1000,32,256
13.231144,8192,1000,32,256
13.243854,8192,1000,32,256
31.640748,16384,1000,64,256
31.637625,16384,1000,64,256
31.634170,16384,1000,64,256
31.634258,16384,1000,64,256
31.650318,16384,1000,64,256
31.634937,16384,1000,64,256
31.641350,16384,1000,64,256
31.634549,16384,1000,64,256
31.643020,16384,1000,64,256
31.645535,16384,1000,64,256
31.641133,16384,1000,64,256
31.641766,16384,1000,64,256
31.640322,16384,1000,64,256
31.645633,16384,1000,64,256
31.642268,16384,1000,64,256
31.634492,16384,1000,64,256
31.642047,16384,1000,64,256
31.645539,16384,1000,64,256
31.642367,16384,1000,64,256
31.642170,16384,1000,64,256
31.638252,16384,1000,64,256
31.654768,16384,1000,64,256
31.651584,16384,1000,64,256
31.646654,16384,1000,64,256
31.645418,16384,1000,64,256
31.659949,16384,1000,64,256
31.644437,16384,1000,64,256
31.634061,16384,1000,64,256
31.640059,16384,1000,64,256
31.640467,16384,1000,64,256
