elapsed_time_s,computing_time_s,nbodies,niter,n_blocks,threads_per_block
12.962188,12.960646,1024,1000,1,128
6.495721,6.495120,1024,1000,2,128
4.876063,4.875343,1024,1000,3,128
3.264077,3.263494,1024,1000,4,128
3.255680,3.255011,1024,1000,5,128
3.258483,3.257916,1024,1000,6,128
3.259661,3.258929,1024,1000,7,128
1.639316,1.638704,1024,1000,8,128
51.752582,51.751480,2048,1000,1,128
25.904236,25.903164,2048,1000,2,128
19.422529,19.421577,2048,1000,3,128
12.957595,12.956145,2048,1000,4,128
12.959201,12.958109,2048,1000,5,128
9.734761,9.733844,2048,1000,6,128
9.734889,9.733988,2048,1000,7,128
6.503542,6.500065,2048,1000,8,128
206.919578,206.918747,4096,1000,1,128
103.451125,103.449219,4096,1000,2,128
71.184406,71.183487,4096,1000,3,128
51.751387,51.750347,4096,1000,4,128
45.331117,45.329082,4096,1000,5,128
38.858414,38.857658,4096,1000,6,128
32.369873,32.368801,4096,1000,7,128
25.898662,25.897293,4096,1000,8,128
827.493812,827.492310,8192,1000,1,128
413.938625,413.936340,8192,1000,2,128
284.474500,284.473236,8192,1000,3,128
206.942109,206.939697,8192,1000,4,128
168.280906,168.279694,8192,1000,5,128
142.368141,142.366623,8192,1000,6,128
129.321078,129.319656,8192,1000,7,128
103.552688,103.551262,8192,1000,8,128
3311.219000,3311.214355,16384,1000,1,128
1655.233375,1655.229492,16384,1000,2,128
1112.482000,1112.478271,16384,1000,3,128
828.952500,828.950256,16384,1000,4,128
672.888187,672.885376,16384,1000,5,128
569.397625,569.396118,16384,1000,6,128
491.753156,491.750122,16384,1000,7,128
413.764000,413.761200,16384,1000,8,128
