elapsed_time_s,computing_time_s,nbodies,niter,n_blocks,threads_per_block
1.640647,1.640075,1024,1000,8,128
1.638528,1.637852,1024,1000,8,128
1.640168,1.639526,1024,1000,8,128
1.639206,1.638677,1024,1000,8,128
1.639372,1.638574,1024,1000,8,128
1.640791,1.640168,1024,1000,8,128
1.638606,1.638024,1024,1000,8,128
1.639971,1.638749,1024,1000,8,128
1.640224,1.639638,1024,1000,8,128
1.640064,1.639415,1024,1000,8,128
1.640834,1.640274,1024,1000,8,128
1.640435,1.639802,1024,1000,8,128
1.639263,1.638748,1024,1000,8,128
1.640400,1.639893,1024,1000,8,128
1.641127,1.640226,1024,1000,8,128
1.639713,1.639072,1024,1000,8,128
1.639175,1.638237,1024,1000,8,128
1.639489,1.638465,1024,1000,8,128
1.643216,1.642538,1024,1000,8,128
1.639305,1.638765,1024,1000,8,128
1.642063,1.641386,1024,1000,8,128
1.639579,1.639008,1024,1000,8,128
1.640671,1.638493,1024,1000,8,128
1.639272,1.638762,1024,1000,8,128
1.639471,1.638840,1024,1000,8,128
1.640216,1.639744,1024,1000,8,128
1.639950,1.639340,1024,1000,8,128
1.640563,1.639956,1024,1000,8,128
1.642068,1.641487,1024,1000,8,128
1.640105,1.639615,1024,1000,8,128
3.254018,3.252953,2048,1000,16,128
3.254720,3.253816,2048,1000,16,128
3.255724,3.254939,2048,1000,16,128
3.259420,3.258605,2048,1000,16,128
3.254134,3.253114,2048,1000,16,128
3.253282,3.251420,2048,1000,16,128
3.262004,3.259476,2048,1000,16,128
3.259935,3.259037,2048,1000,16,128
3.253675,3.252188,2048,1000,16,128
3.254425,3.253405,2048,1000,16,128
3.256214,3.255383,2048,1000,16,128
3.269350,3.268196,2048,1000,16,128
3.253770,3.252851,2048,1000,16,128
3.261393,3.260586,2048,1000,16,128
3.254750,3.253756,2048,1000,16,128
3.254248,3.253420,2048,1000,16,128
3.253519,3.252257,2048,1000,16,128
3.253660,3.252698,2048,1000,16,128
3.254996,3.254058,2048,1000,16,128
3.258946,3.257952,2048,1000,16,128
3.253041,3.252236,2048,1000,16,128
3.254523,3.253694,2048,1000,16,128
3.253859,3.252868,2048,1000,16,128
3.254941,3.253925,2048,1000,16,128
3.254408,3.253363,2048,1000,16,128
3.257637,3.255855,2048,1000,16,128
3.253268,3.252116,2048,1000,16,128
3.255525,3.254529,2048,1000,16,128
3.260885,3.260069,2048,1000,16,128
3.255031,3.254192,2048,1000,16,128
6.328594,6.327882,4096,1000,32,128
6.341681,6.340899,4096,1000,32,128
6.329143,6.328422,4096,1000,32,128
6.336440,6.335694,4096,1000,32,128
6.333790,6.333113,4096,1000,32,128
6.330866,6.330194,4096,1000,32,128
6.332359,6.331542,4096,1000,32,128
6.343683,6.342694,4096,1000,32,128
6.325357,6.324656,4096,1000,32,128
6.324016,6.323439,4096,1000,32,128
6.329281,6.328663,4096,1000,32,128
6.330924,6.330327,4096,1000,32,128
6.330184,6.329541,4096,1000,32,128
6.325207,6.324010,4096,1000,32,128
6.328791,6.326757,4096,1000,32,128
6.329074,6.328284,4096,1000,32,128
6.326771,6.326135,4096,1000,32,128
6.330656,6.329663,4096,1000,32,128
6.334792,6.333842,4096,1000,32,128
6.328688,6.327954,4096,1000,32,128
6.327177,6.326476,4096,1000,32,128
6.329693,6.328892,4096,1000,32,128
6.329173,6.328496,4096,1000,32,128
6.332016,6.331311,4096,1000,32,128
6.329853,6.329248,4096,1000,32,128
6.332604,6.331934,4096,1000,32,128
6.329813,6.329224,4096,1000,32,128
6.332722,6.331947,4096,1000,32,128
6.330468,6.329721,4096,1000,32,128
6.331949,6.331071,4096,1000,32,128
12.931386,12.929990,8192,1000,64,128
12.938399,12.937262,8192,1000,64,128
12.928133,12.926999,8192,1000,64,128
12.923837,12.920537,8192,1000,64,128
12.937585,12.936382,8192,1000,64,128
12.949426,12.948395,8192,1000,64,128
12.929495,12.928441,8192,1000,64,128
12.919537,12.918209,8192,1000,64,128
12.921682,12.920536,8192,1000,64,128
12.917720,12.916595,8192,1000,64,128
12.925606,12.924158,8192,1000,64,128
12.910555,12.909163,8192,1000,64,128
12.921982,12.920869,8192,1000,64,128
12.940221,12.938704,8192,1000,64,128
12.923696,12.922626,8192,1000,64,128
12.916484,12.915233,8192,1000,64,128
12.942150,12.941092,8192,1000,64,128
12.925396,12.923877,8192,1000,64,128
12.937231,12.935986,8192,1000,64,128
12.922251,12.919556,8192,1000,64,128
12.917156,12.916157,8192,1000,64,128
12.918755,12.917390,8192,1000,64,128
12.911450,12.910203,8192,1000,64,128
12.933396,12.932193,8192,1000,64,128
12.946727,12.945587,8192,1000,64,128
12.933518,12.932069,8192,1000,64,128
12.924914,12.923713,8192,1000,64,128
12.911371,12.910329,8192,1000,64,128
12.929452,12.928413,8192,1000,64,128
12.919273,12.918246,8192,1000,64,128
30.996611,30.993248,16384,1000,128,128
30.987891,30.986502,16384,1000,128,128
31.009977,31.008720,16384,1000,128,128
30.998277,30.997158,16384,1000,128,128
30.993625,30.992460,16384,1000,128,128
30.988355,30.986753,16384,1000,128,128
30.978004,30.976887,16384,1000,128,128
30.990596,30.989002,16384,1000,128,128
30.987816,30.986698,16384,1000,128,128
30.981676,30.977692,16384,1000,128,128
30.987857,30.986458,16384,1000,128,128
30.987070,30.985483,16384,1000,128,128
30.992180,30.989933,16384,1000,128,128
31.008479,31.006704,16384,1000,128,128
30.985930,30.984722,16384,1000,128,128
30.996717,30.995550,16384,1000,128,128
30.979506,30.977266,16384,1000,128,128
30.986301,30.985151,16384,1000,128,128
30.991770,30.990480,16384,1000,128,128
30.990014,30.988832,16384,1000,128,128
30.988537,30.987396,16384,1000,128,128
31.005252,31.003904,16384,1000,128,128
30.986438,30.985277,16384,1000,128,128
30.990760,30.989517,16384,1000,128,128
30.982734,30.981600,16384,1000,128,128
30.993785,30.992474,16384,1000,128,128
30.994832,30.992565,16384,1000,128,128
30.993449,30.992100,16384,1000,128,128
30.986742,30.984678,16384,1000,128,128
30.989430,30.988310,16384,1000,128,128
123.789945,123.786392,32768,1000,128,128
123.765750,123.762184,32768,1000,128,128
123.777125,123.774864,32768,1000,128,128
