start,end,nbodies,niter,threads
3446695.589223,3446841.102903,4096,1000,1
3448025.477050,3448165.749174,4096,1000,1
3448165.763433,3448245.062299,4096,1000,2
3448245.078612,3448302.472956,4096,1000,3
3448302.489195,3448350.725754,4096,1000,4
3448350.741829,3448389.543253,4096,1000,5
3448389.553679,3448421.988361,4096,1000,6
3448421.996562,3448447.745718,4096,1000,7
3448447.761029,3448472.324937,4096,1000,8
3448472.336511,3448494.031258,4096,1000,9
3448494.047660,3448513.201990,4096,1000,10
3448513.209882,3448531.815926,4096,1000,11
3448531.823826,3448546.396792,4096,1000,12
3448546.403963,3448562.408861,4096,1000,13
3448562.421194,3448575.642033,4096,1000,14
3450478.792465,3451047.802550,8192,1000,1
3451047.830576,3451369.444436,8192,1000,2
3451369.471907,3451648.840034,8192,1000,3
3454233.296079,3454443.104016,8192,1000,4
3454443.131830,3454619.609622,8192,1000,5
3454619.635494,3454765.402031,8192,1000,6
3454765.430340,3454885.903168,8192,1000,7
3454885.917802,3454995.129619,8192,1000,8
3454995.157328,3455102.218312,8192,1000,9
3455102.244474,3455189.855759,8192,1000,10
3455189.869313,3455276.588539,8192,1000,11
3455276.602816,3455338.951807,8192,1000,12
3455338.965693,3455417.397484,8192,1000,13
3455417.416066,3455471.786659,8192,1000,14
3456973.882375,3456983.656189,1024,1000,1
3456983.662990,3456988.834146,1024,1000,2
3456988.843079,3456993.195229,1024,1000,3
3456993.202151,3456996.557949,1024,1000,4
3456996.564347,3456999.448309,1024,1000,5
3456999.452070,3457001.674499,1024,1000,6
3457001.677952,3457003.849997,1024,1000,7
3457003.853743,3457005.712535,1024,1000,8
3457005.715958,3457007.630942,1024,1000,9
3457007.638636,3457009.247898,1024,1000,10
3457009.251713,3457010.725510,1024,1000,11
3457010.728935,3457012.346124,1024,1000,12
3457012.349651,3457014.021723,1024,1000,13
3457014.024900,3457015.327065,1024,1000,14
3457015.330454,3457025.135436,1024,1000,1
3457025.139583,3457030.563926,1024,1000,2
3457030.570434,3457034.793717,1024,1000,3
3457034.797851,3457037.820710,1024,1000,4
3457037.827396,3457040.644238,1024,1000,5
3457040.651164,3457042.954264,1024,1000,6
3457042.957563,3457045.114292,1024,1000,7
3457045.118381,3457046.832476,1024,1000,8
3457046.836058,3457048.661987,1024,1000,9
3457048.665762,3457050.415949,1024,1000,10
3457050.422257,3457052.038263,1024,1000,11
3457052.041848,3457053.452988,1024,1000,12
3457053.459527,3457054.879708,1024,1000,13
3457054.883510,3457056.274686,1024,1000,14
3457545.640311,3457554.837637,1024,1000,1
3457554.844373,3457560.845614,1024,1000,2
3457560.852355,3457565.147296,1024,1000,3
3457565.151560,3457568.295374,1024,1000,4
3457568.299219,3457571.102903,1024,1000,5
3457571.106586,3457573.394192,1024,1000,6
3457573.398258,3457575.752425,1024,1000,7
3457575.756608,3457577.536488,1024,1000,8
3457577.539750,3457579.346118,1024,1000,9
3457579.349970,3457580.863727,1024,1000,10
3457580.867556,3457582.387722,1024,1000,11
3457582.391427,3457583.828718,1024,1000,12
3457583.832104,3457585.474900,1024,1000,13
3457585.478223,3457586.728057,1024,1000,14
3457670.167419,3457679.460693,1024,1000,1
3457679.467406,3457684.807882,1024,1000,2
3457684.814245,3457689.339802,1024,1000,3
3457689.346913,3457692.546494,1024,1000,4
3457692.550080,3457695.508457,1024,1000,5
3457695.512693,3457697.750551,1024,1000,6
3457697.754686,3457699.846819,1024,1000,7
3457699.850787,3457701.592965,1024,1000,8
3457701.599241,3457703.247422,1024,1000,9
3457703.251151,3457704.756334,1024,1000,10
3457704.759688,3457706.320513,1024,1000,11
3457706.324299,3457707.723550,1024,1000,12
3457707.726876,3457709.092603,1024,1000,13
3457709.096279,3457710.446901,1024,1000,14
3457710.450454,3457720.567513,1024,1000,1
3457720.573714,3457725.912495,1024,1000,2
3457725.916672,3457730.179265,1024,1000,3
3457730.185920,3457733.583949,1024,1000,4
3457733.587518,3457736.265203,1024,1000,5
3457736.268992,3457738.642573,1024,1000,6
3457738.648623,3457740.768799,1024,1000,7
3457740.775297,3457742.695597,1024,1000,8
3457742.699658,3457744.542895,1024,1000,9
3457744.546488,3457746.176029,1024,1000,10
3457746.181346,3457747.669034,1024,1000,11
3457747.675574,3457749.264821,1024,1000,12
3457749.268083,3457750.914909,1024,1000,13
3457750.918811,3457752.287212,1024,1000,14
3457752.290897,3457761.567389,1024,1000,1
3457761.573647,3457766.923564,1024,1000,2
3457766.931101,3457771.274633,1024,1000,3
3457771.280576,3457774.373523,1024,1000,4
3457774.379941,3457777.176787,1024,1000,5
3457777.180834,3457779.375384,1024,1000,6
3457779.381669,3457781.588423,1024,1000,7
3457781.592702,3457783.365406,1024,1000,8
3457783.373328,3457785.230340,1024,1000,9
3457785.235717,3457787.110773,1024,1000,10
3457787.115133,3457788.730230,1024,1000,11
3457788.733950,3457790.448612,1024,1000,12
3457790.452089,3457791.804676,1024,1000,13
3457791.810837,3457793.539725,1024,1000,14
3457793.542982,3457802.798912,1024,1000,1
3457802.806641,3457808.260782,1024,1000,2
3457808.265591,3457812.601447,1024,1000,3
3457812.606038,3457815.480840,1024,1000,4
3457815.484608,3457818.220367,1024,1000,5
3457818.224170,3457820.516801,1024,1000,6
3457820.521093,3457822.766192,1024,1000,7
3457822.772166,3457824.877709,1024,1000,8
3457824.883492,3457826.793395,1024,1000,9
3457826.798924,3457828.363766,1024,1000,10
3457828.367115,3457829.823120,1024,1000,11
3457829.826451,3457831.201650,1024,1000,12
3457831.205177,3457832.911161,1024,1000,13
3457832.915238,3457834.266718,1024,1000,14
3457834.270213,3457843.253596,1024,1000,1
3457843.260293,3457848.660874,1024,1000,2
3457848.664968,3457853.143583,1024,1000,3
3457853.150042,3457856.329121,1024,1000,4
3457856.335585,3457859.225811,1024,1000,5
3457859.229578,3457861.649788,1024,1000,6
3457861.654090,3457863.788462,1024,1000,7
3457863.792867,3457865.656136,1024,1000,8
3457865.660415,3457867.490837,1024,1000,9
3457867.494675,3457869.080302,1024,1000,10
3457869.086600,3457870.663991,1024,1000,11
3457870.667500,3457872.064486,1024,1000,12
3457872.068127,3457873.512582,1024,1000,13
3457873.516419,3457875.172816,1024,1000,14
3457875.176364,3457884.994642,1024,1000,1
3457885.001237,3457890.430340,1024,1000,2
3457890.437299,3457894.906761,1024,1000,3
3457894.915382,3457897.941230,1024,1000,4
3457897.947628,3457900.518782,1024,1000,5
3457900.522558,3457902.847896,1024,1000,6
3457902.854587,3457905.116766,1024,1000,7
3457905.120730,3457907.096050,1024,1000,8
3457907.100560,3457908.912936,1024,1000,9
3457908.916922,3457910.747377,1024,1000,10
3457910.751384,3457912.416590,1024,1000,11
3457912.420492,3457913.908965,1024,1000,12
3457913.916078,3457915.405467,1024,1000,13
3457915.409188,3457916.701533,1024,1000,14
3457916.706985,3457926.510374,1024,1000,1
3457926.517099,3457932.136008,1024,1000,2
3457932.142477,3457936.416936,1024,1000,3
3457936.420965,3457939.398439,1024,1000,4
3457939.402749,3457942.201920,1024,1000,5
3457942.205805,3457944.470377,1024,1000,6
3457944.474241,3457946.433453,1024,1000,7
3457946.437173,3457948.291017,1024,1000,8
3457948.299694,3457950.155825,1024,1000,9
3457950.160321,3457951.747171,1024,1000,10
3457951.751076,3457953.238947,1024,1000,11
3457953.242613,3457954.666112,1024,1000,12
3457954.669978,3457956.173934,1024,1000,13
3457956.177205,3457957.690155,1024,1000,14
3457957.693699,3457967.767556,1024,1000,1
3457967.774690,3457973.354029,1024,1000,2
3457973.358254,3457977.862432,1024,1000,3
3457977.869818,3457980.975200,1024,1000,4
3457980.978722,3457983.817356,1024,1000,5
3457983.823364,3457986.101901,1024,1000,6
3457986.105468,3457988.410790,1024,1000,7
3457988.414599,3457990.290483,1024,1000,8
3457990.293702,3457991.983575,1024,1000,9
3457991.990269,3457993.497654,1024,1000,10
3457993.501231,3457995.116284,1024,1000,11
3457995.120685,3457996.658938,1024,1000,12
3457996.663038,3457998.036403,1024,1000,13
3457998.039682,3457999.352713,1024,1000,14
3457999.356144,3458009.430868,1024,1000,1
3458009.438118,3458014.910692,1024,1000,2
3458014.917951,3458019.253084,1024,1000,3
3458019.260110,3458022.269641,1024,1000,4
3458022.272931,3458025.090021,1024,1000,5
3458025.093929,3458027.388929,1024,1000,6
3458027.392655,3458029.427068,1024,1000,7
3458029.433222,3458031.241935,1024,1000,8
3458031.246196,3458033.020384,1024,1000,9
3458033.024024,3458034.579428,1024,1000,10
3458034.582770,3458036.090995,1024,1000,11
3458036.094354,3458037.462759,1024,1000,12
3458037.466431,3458038.865000,1024,1000,13
3458038.868502,3458040.209714,1024,1000,14
3458040.213090,3458048.927867,1024,1000,1
3458048.931598,3458054.399333,1024,1000,2
3458054.403266,3458058.751161,1024,1000,3
3458058.755131,3458061.749373,1024,1000,4
3458061.752761,3458064.654590,1024,1000,5
3458064.659244,3458066.918591,1024,1000,6
3458066.924735,3458069.147447,1024,1000,7
3458069.154058,3458071.070752,1024,1000,8
3458071.073973,3458072.732323,1024,1000,9
3458072.735978,3458074.324548,1024,1000,10
3458074.328638,3458075.886023,1024,1000,11
3458075.890376,3458077.264995,1024,1000,12
3458077.268589,3458078.706573,1024,1000,13
3458078.709976,3458080.103244,1024,1000,14
3458080.106644,3458088.874398,1024,1000,1
3458088.881238,3458094.634870,1024,1000,2
3458094.639216,3458099.130378,1024,1000,3
3458099.136646,3458102.065643,1024,1000,4
3458102.069342,3458104.792672,1024,1000,5
3458104.799680,3458107.197558,1024,1000,6
3458107.201237,3458109.290440,1024,1000,7
3458109.294338,3458111.106552,1024,1000,8
3458111.112655,3458112.848364,1024,1000,9
3458112.852519,3458114.452828,1024,1000,10
3458114.456549,3458115.939224,1024,1000,11
3458115.942806,3458117.348573,1024,1000,12
3458117.352305,3458118.768407,1024,1000,13
3458118.771948,3458120.121470,1024,1000,14
3458120.124781,3458130.116479,1024,1000,1
3458130.123449,3458135.405914,1024,1000,2
3458135.409643,3458139.827460,1024,1000,3
3458139.832475,3458142.792432,1024,1000,4
3458142.798344,3458145.593717,1024,1000,5
3458145.602273,3458148.057914,1024,1000,6
3458148.061414,3458150.147624,1024,1000,7
3458150.151659,3458152.030588,1024,1000,8
3458152.034409,3458153.726392,1024,1000,9
3458153.730413,3458155.289960,1024,1000,10
3458155.293959,3458156.959358,1024,1000,11
3458156.963361,3458158.345651,1024,1000,12
3458158.349345,3458159.758091,1024,1000,13
3458159.761654,3458161.088704,1024,1000,14
3458161.092203,3458169.810643,1024,1000,1
3458169.817614,3458175.058042,1024,1000,2
3458175.063260,3458179.778117,1024,1000,3
3458179.784777,3458182.847485,1024,1000,4
3458182.851124,3458185.768337,1024,1000,5
3458185.774761,3458188.035926,1024,1000,6
3458188.042765,3458190.340642,1024,1000,7
3458190.344502,3458192.133961,1024,1000,8
3458192.137659,3458193.795822,1024,1000,9
3458193.799773,3458195.262373,1024,1000,10
3458195.265789,3458196.774231,1024,1000,11
3458196.777854,3458198.195546,1024,1000,12
3458198.201988,3458199.607161,1024,1000,13
3458199.610647,3458200.828570,1024,1000,14
3458200.831791,3458210.543738,1024,1000,1
3458210.550583,3458215.988720,1024,1000,2
3458215.995564,3458220.252072,1024,1000,3
3458220.258793,3458223.377043,1024,1000,4
3458223.380826,3458226.252758,1024,1000,5
3458226.256897,3458228.575596,1024,1000,6
3458228.583290,3458230.870417,1024,1000,7
3458230.874652,3458232.773409,1024,1000,8
3458232.777118,3458234.562339,1024,1000,9
3458234.566215,3458236.151994,1024,1000,10
3458236.155186,3458237.610681,1024,1000,11
3458237.617323,3458239.064828,1024,1000,12
